,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Price,Mileage_int,Engine_int,Power_int,Car
48,Jaipur,2014,75000,Diesel,Manual,First,5.0,3.85,24.4,1120.0,71.0,Hyundai Xcent
50,Kochi,2015,13648,Diesel,Automatic,First,5.0,21.43,17.11,1968.0,174.33,Audi A4
51,Delhi,2014,52000,Diesel,Manual,First,5.0,4.25,22.9,1248.0,74.0,Maruti Swift
52,Kolkata,2014,53000,Diesel,Manual,First,5.0,3.3,17.8,1248.0,75.0,Maruti Swift
53,Delhi,2013,65650,Diesel,Manual,First,5.0,3.85,28.4,1248.0,74.0,Maruti Swift
54,Chennai,2015,54000,Petrol,Manual,Third,5.0,3.6,18.9,1197.0,82.0,Hyundai Grand
55,Kolkata,2015,39000,Petrol,Manual,First,5.0,3.99,15.04,1598.0,103.2,Volkswagen Vento
56,Kochi,2017,16542,Petrol,Manual,First,5.0,3.3,25.17,799.0,53.3,Renault KWID
57,Kolkata,2010,32000,Petrol,Manual,First,5.0,2.07,20.36,1197.0,78.9,Hyundai i10
59,Hyderabad,2010,39300,Petrol,Manual,First,5.0,2.25,18.2,998.0,67.1,Maruti Zen
60,Mumbai,2017,22000,Diesel,Manual,First,8.0,16.5,13.68,2393.0,147.8,Toyota Innova
61,Bangalore,2010,72000,Diesel,Manual,First,5.0,2.75,20.0,1399.0,68.0,Ford Figo
62,Delhi,2015,58000,Petrol,Automatic,First,5.0,26.7,11.74,1796.0,186.0,Mercedes-Benz New C-Class
63,Pune,2011,65000,Diesel,Manual,Second,5.0,10.0,15.8,2148.0,170.0,Mercedes-Benz New C-Class
64,Chennai,2016,178000,Diesel,Manual,First,5.0,2.5,25.0,1396.0,69.0,Tata Indica
65,Jaipur,2012,65664,Diesel,Automatic,First,5.0,13.5,16.55,1968.0,140.0,Audi A4
66,Mumbai,2007,63000,Petrol,Automatic,Second,5.0,1.85,16.4,1497.0,78.0,Honda City
68,Pune,2016,63000,Diesel,Manual,First,7.0,8.15,24.52,1248.0,88.5,Maruti Ertiga
69,Mumbai,2018,13000,Diesel,Manual,First,5.0,10.5,22.1,1396.0,88.7,Hyundai Creta
71,Mumbai,2015,55729,Diesel,Manual,First,7.0,9.65,15.1,2179.0,140.0,Mahindra XUV500
72,Kochi,2012,45178,Petrol,Automatic,First,5.0,3.48,16.95,1197.0,78.9,Hyundai i10
73,Kochi,2015,56066,Diesel,Manual,First,5.0,6.92,19.64,1461.0,108.5,Nissan Terrano
74,Coimbatore,2016,37300,Petrol,Automatic,Second,5.0,6.46,16.5,1198.0,86.8,Honda Brio
75,Delhi,2014,56000,Diesel,Automatic,Second,5.0,29.5,18.53,1968.0,187.74,Audi A6
76,Jaipur,2008,111111,Diesel,Manual,First,5.0,2.0,17.8,1399.0,74.27,Ford Fiesta
77,Chennai,2006,230000,Petrol,Manual,Third,8.0,4.5,12.4,1998.0,132.0,Toyota Innova
78,Hyderabad,2012,104000,Diesel,Manual,First,7.0,11.75,12.8,2494.0,102.0,Toyota Innova
79,Hyderabad,2005,87591,Petrol,Manual,First,5.0,1.3,17.48,1086.0,62.3,Hyundai Santro
80,Jaipur,2012,95100,Diesel,Manual,First,5.0,3.75,22.9,1248.0,74.0,Maruti Swift
81,Pune,2017,70000,Petrol,Manual,First,5.0,4.5,17.57,1193.0,88.7,Tata Zest
82,Kochi,2016,54944,Petrol,Manual,First,5.0,4.82,18.0,1198.0,86.7,Honda Amaze
83,Hyderabad,2012,70337,Diesel,Manual,First,5.0,2.8,20.0,1399.0,68.0,Ford Figo
84,Jaipur,2013,99638,Diesel,Manual,First,5.0,3.11,23.2,1248.0,73.94,Maruti Ritz
85,Delhi,2009,52000,Petrol,Manual,First,5.0,3.25,17.8,1497.0,117.3,Honda City
86,Delhi,2011,75000,Diesel,Automatic,Second,5.0,13.9,16.73,1995.0,218.0,BMW 5 Series
87,Pune,2009,95980,Petrol,Manual,First,5.0,2.25,20.36,1197.0,78.9,Hyundai i10
88,Bangalore,2016,16000,Petrol,Manual,First,5.0,5.75,18.9,1197.0,82.0,Hyundai Grand
89,Hyderabad,2007,73745,Petrol,Manual,First,5.0,2.1,17.0,1086.0,62.3,Hyundai Santro
90,Mumbai,2016,18949,Petrol,Manual,First,5.0,5.0,17.8,1198.0,86.7,Honda Amaze
91,Delhi,2014,107000,Diesel,Manual,First,7.0,16.5,13.0,2982.0,168.5,Toyota Fortuner
92,Coimbatore,2018,48367,Diesel,Automatic,First,5.0,39.58,17.68,1968.0,174.33,Audi A6
93,Delhi,2013,57000,Diesel,Manual,First,5.0,5.5,22.7,1498.0,89.84,Ford Ecosport
94,Delhi,2014,58000,Diesel,Manual,First,7.0,8.1,15.1,2179.0,140.0,Mahindra XUV500
95,Kolkata,2015,30000,Diesel,Manual,First,5.0,3.5,25.8,1498.0,98.6,Honda Amaze
96,Kolkata,2013,34212,Diesel,Manual,First,5.0,2.79,22.07,1199.0,73.9,Volkswagen Polo
97,Ahmedabad,2010,70002,Diesel,Manual,First,5.0,3.45,16.2,1493.0,110.0,Hyundai Verna
98,Bangalore,2016,62000,Petrol,Manual,First,5.0,4.45,18.9,998.0,67.1,Maruti WagonR
99,Delhi,2010,62001,Petrol,Manual,First,5.0,2.65,15.26,1598.0,103.5,Volkswagen Polo
100,Pune,2011,78958,Diesel,Manual,Second,5.0,3.8,23.0,1396.0,90.0,Hyundai i20
101,Mumbai,2014,30180,Petrol,Manual,First,5.0,4.65,18.5,1197.0,82.85,Hyundai i20
103,Kolkata,2010,30000,Diesel,Automatic,First,5.0,9.8,14.94,2967.0,241.4,Audi A4
104,Pune,2009,66000,Petrol,Manual,Second,5.0,2.7,17.0,1197.0,80.0,Hyundai i20
105,Coimbatore,2010,93850,Petrol,Manual,First,5.0,2.41,14.0,796.0,35.0,Maruti Omni
106,Ahmedabad,2014,53000,Petrol,Manual,First,5.0,3.9,17.71,1197.0,78.9,Toyota Etios
108,Delhi,2012,65000,Diesel,Manual,Second,7.0,5.75,16.0,2179.0,140.0,Mahindra XUV500
109,Kolkata,2014,40000,Diesel,Automatic,First,5.0,5.25,22.32,1582.0,126.32,Hyundai Verna
110,Mumbai,2017,30000,Diesel,Automatic,First,7.0,19.25,11.36,2755.0,171.5,Toyota Innova
112,Bangalore,2014,25500,Petrol,Manual,First,4.0,2.15,25.4,624.0,37.5,Tata Nano
113,Mumbai,2015,56087,Diesel,Automatic,First,5.0,20.75,22.69,1995.0,190.0,BMW 3 Series
114,Delhi,2010,71088,Petrol,Manual,First,5.0,3.35,13.5,1799.0,130.0,Honda Civic
115,Ahmedabad,2014,55000,Diesel,Manual,First,7.0,11.11,12.99,2494.0,100.6,Toyota Innova
117,Coimbatore,2016,39882,Petrol,Automatic,First,5.0,6.55,19.15,1198.0,75.94,Nissan Micra
118,Mumbai,2009,128000,Petrol,Automatic,First,5.0,7.0,10.8,2497.0,215.0,BMW 5 Series
119,Mumbai,2016,55000,Diesel,Manual,First,5.0,7.5,24.3,1248.0,88.5,Maruti Vitara
120,Mumbai,2005,102000,Petrol,Manual,Second,5.0,0.85,17.0,1086.0,62.3,Hyundai Santro
122,Kolkata,2018,10250,Diesel,Manual,First,5.0,10.95,22.0,1582.0,126.2,Hyundai Verna
123,Pune,2011,43874,Petrol,Manual,First,5.0,2.45,18.9,998.0,67.1,Maruti WagonR
124,Coimbatore,2017,32684,Petrol,Automatic,First,4.0,3.23,21.9,624.0,37.48,Tata Nano
125,Kolkata,2014,42000,Diesel,Manual,First,8.0,7.75,12.05,2179.0,120.0,Mahindra Scorpio
126,Kolkata,2009,28352,Petrol,Automatic,First,5.0,9.35,11.7,1796.0,178.0,Mercedes-Benz New C-Class
127,Pune,2013,89900,CNG,Manual,First,5.0,3.25,26.6,998.0,58.16,Maruti WagonR
128,Bangalore,2007,47700,Petrol,Manual,Second,5.0,5.25,10.8,2354.0,152.0,Honda CR-V
129,Pune,2015,55000,Diesel,Automatic,First,5.0,7.25,21.21,1498.0,103.2,Volkswagen Vento
130,Kochi,2017,44285,Petrol,Manual,First,5.0,7.47,20.73,1373.0,91.1,Maruti Ciaz
131,Jaipur,2016,54000,Diesel,Automatic,First,7.0,13.25,16.0,2179.0,140.0,Mahindra XUV500
132,Coimbatore,2016,30232,Petrol,Manual,First,5.0,5.81,21.1,1197.0,85.8,Maruti Ritz
133,Hyderabad,2014,88500,Petrol,Manual,First,5.0,2.6,24.07,998.0,67.1,Maruti Alto
135,Kochi,2019,12645,Petrol,Automatic,First,5.0,11.5,17.0,1591.0,121.3,Hyundai Verna
136,Chennai,2010,94385,Petrol,Manual,Second,5.0,1.6,19.7,796.0,46.3,Maruti Alto
138,Mumbai,2015,12000,Petrol,Automatic,First,5.0,6.0,19.0,1199.0,88.7,Honda Jazz
139,Delhi,2012,88578,Petrol,Manual,First,5.0,3.95,13.5,1799.0,130.0,Honda Civic
140,Kochi,2014,44965,Diesel,Automatic,First,5.0,17.95,19.27,2143.0,170.0,Mercedes-Benz New C-Class
141,Kolkata,2014,45044,Diesel,Manual,First,5.0,3.7,25.8,1498.0,98.6,Honda Amaze
142,Kochi,2016,34204,Petrol,Manual,First,5.0,5.43,22.0,1197.0,81.8,Maruti Swift
143,Kochi,2008,80759,Petrol,Manual,Third,5.0,1.67,17.0,1086.0,62.3,Hyundai Santro
144,Coimbatore,2012,91235,Diesel,Manual,First,7.0,13.49,11.5,2982.0,171.0,Toyota Fortuner
145,Pune,2014,38800,Petrol,Manual,First,5.0,2.85,18.6,1199.0,76.8,Chevrolet Beat
146,Chennai,2013,83000,Diesel,Manual,First,5.0,4.75,21.14,1498.0,103.52,Skoda Rapid
147,Kochi,2018,41283,Petrol,Manual,First,5.0,9.9,20.73,1373.0,91.1,Maruti Ciaz
149,Mumbai,2014,48000,Diesel,Automatic,First,5.0,26.5,21.76,1995.0,190.0,BMW 3 Series
150,Coimbatore,2015,48214,Diesel,Automatic,First,5.0,23.32,17.11,1968.0,174.33,Audi A4
151,Chennai,2016,35000,Diesel,Manual,First,5.0,6.25,22.9,1248.0,74.0,Maruti Swift
153,Coimbatore,2016,54620,Diesel,Automatic,First,5.0,9.86,21.66,1498.0,103.52,Skoda Rapid
154,Pune,2012,136997,Diesel,Automatic,First,5.0,8.5,17.2,1968.0,138.1,Skoda Superb
155,Kochi,2019,14322,Petrol,Manual,First,5.0,4.23,21.1,814.0,55.2,Hyundai EON
156,Jaipur,2012,65634,Diesel,Manual,First,5.0,3.5,22.07,1199.0,73.9,Volkswagen Polo
158,Kolkata,2013,33280,Petrol,Manual,First,5.0,2.39,19.4,1198.0,86.8,Honda Brio
160,Kochi,2015,42831,Diesel,Manual,First,5.0,7.11,26.0,1498.0,98.6,Honda City
161,Ahmedabad,2016,90000,Diesel,Manual,First,7.0,10.9,12.99,2494.0,100.6,Toyota Innova
162,Ahmedabad,2017,24005,Petrol,Manual,First,5.0,6.2,20.4,1197.0,81.8,Maruti Swift
163,Mumbai,2012,32792,Diesel,Manual,First,7.0,7.9,15.1,2179.0,140.0,Mahindra XUV500
164,Kochi,2014,147898,Diesel,Manual,First,5.0,4.42,22.7,1498.0,89.84,Ford Ecosport
165,Mumbai,2012,131765,Diesel,Manual,First,7.0,13.5,13.0,2982.0,168.5,Toyota Fortuner
166,Chennai,2013,65000,Diesel,Automatic,First,5.0,6.25,21.5,1498.0,108.5,Volkswagen Vento
167,Jaipur,2010,66123,Diesel,Manual,Second,5.0,2.1,20.0,1399.0,68.0,Ford Figo
168,Mumbai,2015,41000,Diesel,Automatic,First,5.0,45.0,15.3,2993.0,258.0,BMW X5
169,Coimbatore,2017,23550,Diesel,Automatic,First,5.0,33.66,19.27,2143.0,167.62,Mercedes-Benz New C-Class
170,Bangalore,2012,45000,Petrol,Manual,Second,5.0,3.65,19.4,1198.0,86.8,Honda Brio
171,Delhi,2013,60000,Petrol,Manual,First,5.0,2.75,20.36,1197.0,78.9,Hyundai i10
173,Kolkata,2019,1000,Petrol,Manual,First,5.0,6.5,18.9,1197.0,81.86,Hyundai Grand
174,Mumbai,2012,62500,Diesel,Automatic,Second,5.0,19.0,17.68,1968.0,174.33,Audi A6
175,Mumbai,2013,21000,Petrol,Automatic,Second,5.0,4.45,14.4,1598.0,103.6,Volkswagen Vento
177,Bangalore,2014,29000,Diesel,Manual,First,5.0,8.35,22.54,1396.0,88.73,Hyundai i20
178,Mumbai,2014,40000,Diesel,Automatic,First,5.0,22.95,17.68,1968.0,174.33,Audi A6
179,Jaipur,2012,88000,Diesel,Manual,First,5.0,1.5,25.44,936.0,57.6,Chevrolet Beat
180,Kochi,2012,53537,Petrol,Automatic,First,5.0,6.89,13.7,1798.0,157.75,Skoda Superb
181,Chennai,2006,216000,Diesel,Manual,Second,5.0,1.45,17.8,1399.0,68.0,Ford Fiesta
182,Hyderabad,2014,51000,Diesel,Automatic,First,5.0,33.5,22.48,1995.0,190.0,BMW 5 Series
184,Hyderabad,2012,63000,Diesel,Manual,First,5.0,4.2,22.07,1199.0,73.9,Volkswagen Polo
186,Bangalore,2014,37382,Diesel,Automatic,First,5.0,32.0,13.0,2143.0,201.1,Mercedes-Benz E-Class
187,Kochi,2017,24773,Petrol,Manual,First,5.0,7.5,21.4,1197.0,83.1,Maruti Baleno
188,Delhi,2012,62000,Diesel,Manual,First,5.0,4.6,22.32,1582.0,126.32,Hyundai Verna
189,Kochi,2017,52340,Petrol,Manual,First,5.0,4.04,19.81,1086.0,68.05,Hyundai i10
190,Kochi,2016,56739,Diesel,Manual,First,7.0,10.31,15.4,1997.0,120.0,Mahindra Scorpio
191,Coimbatore,2018,36091,Diesel,Automatic,First,5.0,55.76,12.7,2179.0,187.7,Land Rover Range Rover
192,Chennai,2010,120000,Diesel,Manual,First,5.0,2.6,20.0,1399.0,68.0,Ford Figo
193,Mumbai,2016,33000,Diesel,Manual,First,7.0,8.5,25.47,1248.0,88.5,Maruti Ertiga
195,Kolkata,2014,52000,Diesel,Manual,First,5.0,3.5,25.8,1498.0,98.6,Honda Amaze
196,Jaipur,2015,43571,Petrol,Manual,First,5.0,3.55,20.36,1197.0,78.9,Hyundai i10
197,Kolkata,2013,50000,Diesel,Manual,First,5.0,3.25,25.8,1498.0,98.6,Honda Amaze
198,Hyderabad,2008,113000,Diesel,Manual,First,5.0,4.5,17.5,1896.0,106.0,Skoda Laura
199,Delhi,2014,90000,Diesel,Manual,First,5.0,5.35,19.87,1461.0,83.8,Renault Duster
201,Mumbai,2016,20000,Diesel,Manual,First,5.0,9.0,24.3,1248.0,88.5,Maruti Vitara
202,Kochi,2016,61012,Petrol,Manual,First,5.0,6.0,18.6,1197.0,81.83,Hyundai i20
204,Pune,2010,70500,Petrol,Manual,First,5.0,1.5,15.64,1193.0,64.1,Tata Indigo
205,Delhi,2015,64103,Diesel,Automatic,First,5.0,19.9,15.73,1968.0,174.33,Audi Q3
206,Mumbai,2014,76000,Petrol,Automatic,First,5.0,10.0,14.7,1798.0,177.5,Skoda Octavia
207,Delhi,2014,104000,Diesel,Manual,First,5.0,3.0,23.59,1364.0,67.06,Toyota Etios
210,Kolkata,2013,45000,Diesel,Manual,First,5.0,3.25,27.4,1498.0,98.6,Honda Amaze
211,Jaipur,2012,117837,Diesel,Manual,Second,5.0,4.75,22.32,1582.0,126.32,Hyundai Verna
212,Mumbai,2014,30000,Diesel,Manual,First,5.0,5.95,20.46,1461.0,83.8,Renault Duster
213,Delhi,2015,27057,Petrol,Manual,Second,5.0,8.15,15.29,1591.0,121.3,Hyundai Creta
214,Mumbai,2016,8500,Petrol,Automatic,First,5.0,4.22,20.51,998.0,67.0,Maruti WagonR
215,Kolkata,2010,30500,Petrol,Automatic,First,5.0,10.5,11.74,1796.0,186.0,Mercedes-Benz New C-Class
217,Pune,2012,44000,Petrol,Manual,Second,5.0,2.9,19.81,1086.0,68.05,Hyundai i10
218,Mumbai,2017,10500,Petrol,Automatic,First,5.0,8.9,14.3,1598.0,103.52,Skoda Rapid
219,Hyderabad,2017,26000,Petrol,Automatic,First,5.0,26.0,14.67,1798.0,177.46,Skoda Superb
220,Coimbatore,2018,25166,Petrol,Manual,First,5.0,8.22,17.19,1197.0,81.86,Hyundai i20
221,Kolkata,2014,64000,Diesel,Manual,Second,5.0,3.5,25.8,1498.0,98.6,Honda Amaze
222,Chennai,2004,61000,Petrol,Manual,Second,5.0,1.25,18.9,998.0,67.1,Maruti WagonR
224,Coimbatore,2018,29161,Diesel,Automatic,First,5.0,39.41,19.27,2143.0,167.62,Mercedes-Benz New C-Class
225,Kolkata,2013,32000,Petrol,Manual,First,5.0,2.65,22.5,998.0,67.04,Maruti WagonR
226,Coimbatore,2015,46173,Diesel,Manual,Second,5.0,8.92,19.01,1461.0,108.5,Nissan Terrano
227,Delhi,2013,47000,Diesel,Manual,First,5.0,4.1,17.8,1248.0,77.89,Maruti Swift
230,Jaipur,2007,200000,Diesel,Manual,Second,5.0,0.85,17.2,1396.0,53.5,Tata Indica
231,Kochi,2016,60813,Petrol,Manual,Second,5.0,3.32,18.6,1199.0,76.8,Chevrolet Beat
232,Mumbai,2012,45000,Diesel,Manual,First,5.0,3.6,22.07,1199.0,73.9,Volkswagen Polo
233,Hyderabad,2016,64000,Diesel,Manual,First,5.0,6.8,22.9,1248.0,74.0,Maruti Swift
234,Kolkata,2012,41284,Diesel,Manual,First,5.0,2.5,20.0,1399.0,68.05,Ford Figo
235,Kochi,2019,14165,Diesel,Automatic,First,7.0,19.64,11.36,2755.0,171.5,Toyota Innova
237,Kolkata,2011,32572,Petrol,Manual,First,5.0,3.87,17.4,1497.0,117.3,Honda City
238,Kochi,2018,14960,Petrol,Manual,First,5.0,6.27,18.6,1197.0,81.83,Hyundai i20
239,Kochi,2015,55980,Diesel,Automatic,First,5.0,18.12,19.27,2143.0,167.62,Mercedes-Benz New C-Class
240,Mumbai,2013,74000,Diesel,Manual,First,5.0,2.65,25.44,936.0,57.6,Chevrolet Beat
241,Kochi,2015,56847,Diesel,Manual,First,5.0,7.2,22.54,1396.0,88.73,Hyundai i20
242,Coimbatore,2015,121374,Diesel,Manual,First,7.0,14.3,12.99,2494.0,100.6,Toyota Innova
243,Chennai,2013,52000,Diesel,Manual,First,7.0,6.9,20.77,1248.0,88.76,Maruti Ertiga
244,Mumbai,2014,118000,Diesel,Manual,First,7.0,10.75,12.8,2494.0,102.0,Toyota Innova
245,Mumbai,2007,72000,Petrol,Manual,Third,5.0,0.95,17.0,1086.0,62.3,Hyundai Santro
246,Kochi,2016,33915,Petrol,Manual,First,5.0,8.09,17.8,1497.0,117.3,Honda City
247,Ahmedabad,2014,82002,Diesel,Automatic,First,5.0,18.5,17.05,1995.0,184.0,BMW X1
248,Mumbai,2017,33000,Diesel,Manual,First,5.0,4.75,24.0,1120.0,70.0,Hyundai Grand
249,Chennai,2016,34000,Diesel,Manual,First,5.0,8.45,28.09,1248.0,88.5,Maruti Ciaz
250,Kolkata,2012,55000,Diesel,Manual,First,5.0,3.5,20.5,1598.0,103.6,Skoda Rapid
252,Jaipur,2014,60000,Diesel,Manual,Second,5.0,3.7,19.91,1498.0,103.6,Volkswagen Polo
253,Coimbatore,2017,49575,Petrol,Manual,First,5.0,7.17,18.7,1199.0,88.7,Honda Jazz
254,Jaipur,2010,83000,Petrol,Manual,First,5.0,1.75,19.81,1086.0,68.05,Hyundai i10
256,Pune,2017,43000,Diesel,Manual,First,7.0,18.65,13.68,2393.0,147.8,Toyota Innova
257,Jaipur,2011,35000,Petrol,Manual,Third,5.0,1.85,19.7,796.0,35.0,Maruti Omni
258,Coimbatore,2017,27872,Petrol,Manual,Second,5.0,5.95,20.4,1197.0,81.8,Maruti Swift
259,Mumbai,2014,16514,Petrol,Manual,First,5.0,3.75,18.9,1197.0,82.0,Hyundai Grand
260,Pune,2012,120000,Diesel,Manual,First,5.0,3.75,22.9,1248.0,74.0,Maruti Swift
261,Hyderabad,2008,143275,Diesel,Manual,First,5.0,2.6,22.0,1582.0,126.2,Hyundai Verna
262,Hyderabad,2006,99000,Petrol,Manual,First,5.0,1.75,17.48,1086.0,62.3,Hyundai Santro
263,Mumbai,2010,52000,Petrol,Manual,First,5.0,2.8,17.0,1197.0,80.0,Hyundai i20
265,Bangalore,2014,57000,Diesel,Manual,Second,5.0,18.0,15.8,2148.0,170.0,Mercedes-Benz New C-Class
266,Hyderabad,2014,88500,Diesel,Manual,First,5.0,4.35,23.2,1248.0,73.94,Maruti Ritz
267,Bangalore,2016,28000,Diesel,Manual,First,5.0,13.75,19.67,1582.0,126.2,Hyundai Creta
269,Delhi,2016,26000,Diesel,Manual,First,5.0,10.0,19.64,1461.0,108.45,Renault Duster
272,Bangalore,2010,36000,Petrol,Manual,Second,5.0,3.25,20.36,1197.0,78.9,Hyundai i10
273,Pune,2016,47000,Diesel,Manual,First,7.0,12.8,12.8,2494.0,102.0,Toyota Innova
274,Mumbai,2002,60000,Petrol,Manual,Third,5.0,0.55,17.3,993.0,60.0,Maruti Zen
275,Hyderabad,2018,31025,Diesel,Manual,First,5.0,7.15,28.4,1248.0,74.0,Maruti Swift
276,Pune,2013,105000,Diesel,Manual,Second,8.0,7.0,12.05,2179.0,120.0,Mahindra Scorpio
277,Pune,2017,121900,Diesel,Manual,First,5.0,3.75,22.95,1248.0,74.0,Tata Zest
278,Mumbai,2017,22695,Petrol,Manual,First,5.0,8.5,18.88,999.0,123.24,Ford EcoSport
279,Jaipur,2012,73000,Diesel,Manual,First,5.0,4.35,23.4,1248.0,74.0,Maruti Swift
280,Kochi,2016,32227,Petrol,Manual,First,5.0,3.26,22.74,796.0,47.3,Maruti Alto
281,Jaipur,2011,55000,Petrol,Manual,First,5.0,4.21,17.0,1497.0,118.0,Honda City
282,Kochi,2018,11287,Diesel,Automatic,First,7.0,70.36,12.07,2967.0,241.4,Audi Q7
283,Mumbai,2009,48000,Diesel,Automatic,Second,5.0,2.95,17.0,1896.0,105.0,Skoda Laura
284,Kochi,2012,54308,Petrol,Manual,First,5.0,4.28,17.1,1591.0,121.3,Hyundai Verna
285,Jaipur,2009,78442,Petrol,Automatic,First,5.0,3.57,16.8,1497.0,118.0,Honda City
286,Kolkata,2013,46000,Diesel,Manual,First,5.0,3.11,21.9,1396.0,88.8,Hyundai i20
287,Coimbatore,2014,45051,Petrol,Automatic,First,5.0,5.96,15.0,1396.0,98.6,Hyundai i20
288,Hyderabad,2011,69000,Diesel,Manual,First,5.0,4.7,20.54,1598.0,103.6,Volkswagen Vento
289,Ahmedabad,2014,49000,Petrol,Manual,First,5.0,6.9,17.4,1497.0,117.3,Honda City
290,Pune,2018,45000,Diesel,Manual,First,5.0,5.25,22.95,1248.0,74.0,Tata Zest
291,Pune,2015,64000,Diesel,Automatic,First,5.0,28.0,18.48,1995.0,177.0,BMW 5 Series
292,Delhi,2009,60000,Petrol,Manual,First,5.0,1.35,18.9,1061.0,67.0,Maruti WagonR
293,Delhi,2015,62178,Petrol,Manual,First,5.0,4.85,18.2,1199.0,88.7,Honda Jazz
294,Coimbatore,2012,58006,Diesel,Manual,First,5.0,6.7,15.0,1896.0,105.0,Volkswagen Jetta
295,Hyderabad,2010,74000,Petrol,Manual,First,5.0,3.1,20.36,1197.0,78.9,Hyundai i10
296,Kochi,2015,77771,Diesel,Automatic,First,5.0,18.64,19.27,2143.0,170.0,Mercedes-Benz New C-Class
